time,x,y,z,vel,roll,pitch,yaw,terrainHeight,reward
15.0693,0,6038.189,0,37876.57,0,0,0,6000,-1
15.11292,0,6024.071,0,18776.45,0,0,0,6000,-1
15.13578,0,6027.03,0,9452.933,0,0,0,6000,-1
15.14645,0,6027.025,0,4726.26,0,0,0,6000,-1
15.16367,0,6027.021,0,2363.017,0,0,0,6000,-1
15.17952,0,6030,0,1275.474,0,0,0,6000,-1
15.20157,0,6024.031,0,502.3797,0,0,0,6000,-1
15.22182,0,6027.01,0,324.7304,0,0,0,6000,-1
15.25406,0,6027.006,0,162.3046,0,0,0,6000,-1
15.27281,0,6027.002,0,81.04819,0,0,0,6000,-1
15.28123,0,6026.998,0,40.29204,0,0,0,6000,-1
15.29584,0,6030,0,122.8969,0,0,0,6000,-1
15.31066,0,6026.994,0,39.93269,0,0,0,6000,-1
15.32706,0,6026.99,0,20.08547,0,0,0,6000,-1
15.34376,0,6026.986,0,10.15969,0,0,0,6000,-0.01596939
15.36148,0,6026.982,0,5.190072,0,0,0,6000,0.4809928
15.37979,0,6030,0,79.80293,0,0,0,6000,-1
15.40803,0,6023.953,0,67.1347,0,0,0,6000,-1
15.42059,0,6026.971,0,86.60623,0,0,0,6000,-1
15.44235,0,6026.967,0,43.21336,0,0,0,6000,-1
15.46433,0,6026.963,0,21.51782,0,0,0,6000,-1
15.48642,0,6026.959,0,10.67048,0,0,0,6000,-0.06704838
15.50763,0,6026.955,0,5.243178,0,0,0,6000,0.4756822
15.53013,0,6026.951,0,2.534762,0,0,0,6000,0.7465239
15.56064,0,6023.891,0,48.88113,0,0,0,6000,-1
15.56802,0,6030,0,389.9088,0,0,0,6000,-1
15.58219,0,6026.939,0,87.01825,0,0,0,6000,-1
15.59631,0,6030,0,151.8845,0,0,0,6000,-1
15.61154,0,6026.936,0,24.66824,0,0,0,6000,-1
15.63181,0,6026.932,0,12.43048,0,0,0,6000,-0.2430476
15.64841,0,6026.928,0,6.332911,0,0,0,6000,0.3667089
15.68914,0,6023.844,0,41.02356,0,0,0,6000,-1
15.72006,0,6023.827,0,20.78022,0,0,0,6000,-1
15.7341,0,6030,0,209.5289,0,0,0,6000,-1
15.74788,0,6026.908,0,7.398811,0,0,0,6000,0.2601188
15.76204,0,6026.904,0,3.837329,0,0,0,6000,0.6162671
15.77697,0,6030,0,101.8075,0,0,0,6000,-1
15.79248,0,6026.9,0,49.04974,0,0,0,6000,-1
15.80853,0,6026.896,0,24.64651,0,0,0,6000,-1
15.82571,0,6026.892,0,12.43695,0,0,0,6000,-0.2436949
15.84313,0,6026.888,0,6.330574,0,0,0,6000,0.3669426
15.87108,0,6026.884,0,3.23518,0,0,0,6000,0.676482
15.88417,0,6026.88,0,1.766744,0,0,0,6000,0.8233256
15.90651,0,6026.876,0,0.9708126,0,0,0,6000,0.9029188
15.92816,0,6026.873,0,0.5756084,0,0,0,6000,0.9424391
15.95003,0,6026.869,0,0.3771207,0,0,0,6000,0.9622879
15.96408,0,6026.865,0,0.3276013,0,0,0,6000,0.9672399
15.97777,0,6030,0,114.3047,0,0,0,6000,-1
15.99303,0,6026.861,0,45.70432,0,0,0,6000,-1
16.0083,0,6026.857,0,22.98011,0,0,0,6000,-1
16.03209,0,6026.853,0,11.57216,0,0,0,6000,-0.1572156
16.04096,0,6026.849,0,6.006291,0,0,0,6000,0.3993709
16.05869,0,6030,0,85.81532,0,0,0,6000,-1
16.07793,0,6026.845,0,39.08256,0,0,0,6000,-1
16.09902,0,6026.841,0,19.63388,0,0,0,6000,-0.9633883
16.12099,0,6023.671,0,81.97093,0,0,0,6000,-1
16.14243,0,6026.83,0,32.68391,0,0,0,6000,-1
16.16439,0,6026.826,0,16.25302,0,0,0,6000,-0.6253018
16.1945,0,6026.822,0,8.061631,0,0,0,6000,0.1938369
16.2093,0,6026.818,0,3.89883,0,0,0,6000,0.610117
16.23426,0,6026.814,0,1.871171,0,0,0,6000,0.812883
16.25701,0,6026.81,0,0.839022,0,0,0,6000,0.9160978
16.27613,0,6026.806,0,0.3173461,0,0,0,6000,0.9682654
16.30444,0,6023.6,0,56.46723,0,0,0,6000,-1
16.33137,0,6026.794,0,31.06553,0,0,0,6000,-1
16.40526,0,6017.137,0,49.81738,0,0,0,6000,-1
16.41644,0,6030,0,550.2307,0,0,0,6000,-1
16.43729,0,6026.774,0,197.7403,0,0,0,6000,-1
16.45821,0,6026.771,0,98.77679,0,0,0,6000,-1
16.50091,0,6020.288,0,26.51508,0,0,0,6000,-1
16.53628,0,6026.755,0,78.17966,0,0,0,6000,-1
16.55281,0,6026.751,0,38.97172,0,0,0,6000,-1
16.58316,0,6023.49,0,34.23593,0,0,0,6000,-1
16.61073,0,6026.739,0,41.80636,0,0,0,6000,-1
16.63578,0,6026.735,0,20.82522,0,0,0,6000,-1
16.65593,0,6026.731,0,10.31568,0,0,0,6000,-0.03156816
16.6838,0,6023.451,0,53.70597,0,0,0,6000,-1
16.69311,0,6030,0,324.6579,0,0,0,6000,-1
16.71484,0,6026.72,0,86.84515,0,0,0,6000,-1
16.73808,0,6026.716,0,43.33855,0,0,0,6000,-1
16.76435,0,6023.42,0,41.08305,0,0,0,6000,-1
16.78673,0,6026.704,0,52.82022,0,0,0,6000,-1
16.80324,0,6026.7,0,26.27704,0,0,0,6000,-1
16.81941,0,6030,0,115.2215,0,0,0,6000,-1
16.84646,0,6023.388,0,64.59906,0,0,0,6000,-1
16.85595,0,6030,0,316.1857,0,0,0,6000,-1
16.87628,0,6026.688,0,76.63805,0,0,0,6000,-1
16.90759,0,6023.364,0,14.7608,0,0,0,6000,-0.47608
16.92798,0,6026.676,0,73.81178,0,0,0,6000,-1
16.95251,0,6026.672,0,36.82627,0,0,0,6000,-1
16.96897,0,6026.668,0,18.29444,0,0,0,6000,-0.8294438
16.98528,0,6026.665,0,9.027447,0,0,0,6000,0.09725531
17.01442,0,6026.661,0,4.446712,0,0,0,6000,0.5553288
17.02376,0,6026.657,0,2.014197,0,0,0,6000,0.7985803
17.04236,0,6026.653,0,0.902086,0,0,0,6000,0.9097914
17.06334,0,6026.649,0,0.3579681,0,0,0,6000,0.9642032
17.08482,0,6026.645,0,0.08805946,0,0,0,6000,0.9911941
17.10877,0,6026.641,0,0.03751485,0,0,0,6000,0.9962485
17.13239,0,6026.637,0,0.1014648,0,0,0,6000,0.9898535
17.14764,0,6026.633,0,0.1787782,0,0,0,6000,0.9821222
17.17259,0,6026.629,0,0.1676764,0,0,0,6000,0.9832324
17.18103,0,6026.625,0,0.3153837,0,0,0,6000,0.9684616
17.19757,0,6030,0,101.8111,0,0,0,6000,-1
17.21436,0,6026.622,0,49.7307,0,0,0,6000,-1
